Percent Missing,Num Gaps,Training Instances,Full Accuracy,Gap Accuracy,Non-gap Accuracy,Most Similar Reference,Least Similar Reference
0.2,4,1000,0.8504672897196262,0.28,0.9411764705882353,81.905,65.714
0.2,6,1000,0.9299065420560748,1.0,0.9411764705882353,80.374,68.203
0.2,8,1000,0.9345794392523364,0.72,1.0,87.838,70.892
0.2,10,1000,0.9392523364485982,0.92,0.7647058823529411,92.537,73.881
0.3,4,1000,0.9205607476635514,0.8157894736842105,0.8846153846153846,75.701,64.019
0.3,6,1000,0.9392523364485982,1.0,0.9230769230769231,71.429,61.215
0.3,8,1000,0.8551401869158879,0.5,0.9230769230769231,80.189,62.326
0.3,10,1000,0.9345794392523364,1.0,0.8846153846153846,71.154,57.692
0.4,4,1000,0.7616822429906542,0.27450980392156865,0.7941176470588235,88.060,65.089
0.4,6,1000,0.5794392523364486,0.19607843137254902,0.6764705882352942,68.182,60.748
0.4,8,1000,0.6542056074766355,0.3137254901960784,0.6470588235294118,68.182,60.577
0.4,10,1000,0.8551401869158879,0.6862745098039216,0.8529411764705882,67.368,53.488
